position,team_name,matches_played,won,draw,lost,goals_scored,goals_conceced,points
1.0,Manchester City,39,27.0,7.0,5.0,92.0,49.0,88.0
2.0,Arsenal,39,25.0,8.0,6.0,86.0,58.0,83.0
3.0,Manchester United,38,23.0,8.0,7.0,56.0,29.0,77.0
4.0,Liverpool,39,19.0,11.0,9.0,73.0,44.0,68.0
5.0,Newcastle United,37,17.0,15.0,5.0,62.0,42.0,66.0
6.0,Aston Villa,38,18.0,8.0,12.0,51.0,39.0,62.0
7.0,Brighton & Hove Albion,39,17.0,10.0,12.0,70.0,54.0,61.0
8.0,Brentford,38,15.0,14.0,9.0,56.0,39.0,59.0
9.0,Tottenham Hotspur,37,17.0,7.0,13.0,65.0,55.0,58.0
10.0,Fulham,38,15.0,7.0,16.0,53.0,51.0,52.0
11.0,Crystal Palace,39,11.0,14.0,14.0,40.0,40.0,47.0
12.0,Chelsea,39,10.0,13.0,16.0,37.0,36.0,43.0
13.0,Wolverhampton Wanderers,38,11.0,9.0,18.0,30.0,31.0,42.0
14.0,West Ham United,37,11.0,8.0,18.0,41.0,36.0,41.0
15.0,Nottingham Forest,38,9.0,12.0,17.0,38.0,35.0,39.0
16.0,AFC Bournemouth,38,10.0,7.0,21.0,35.0,45.0,37.0
17.0,Everton,38,8.0,13.0,17.0,34.0,44.0,37.0
18.0,Leicester City,38,9.0,7.0,22.0,49.0,53.0,34.0
19.0,Leeds United,39,6.0,12.0,21.0,46.0,58.0,30.0
20.0,Southampton,38,6.0,8.0,24.0,35.0,53.0,26.0
21.0,Newcastle,1,1.0,0.0,0.0,4.0,4.0,3.0
22.0,Manchester Utd,1,0.0,0.0,1.0,1.0,1.0,0.0
23.0,Tottenham,1,0.0,0.0,1.0,1.0,2.0,0.0
24.0,West Ham,1,0.0,0.0,1.0,1.0,2.0,0.0
